21215.271484,-21.936649,-50.507935,-0.000398,-0.000350,-0.002699,0.001296,0.002434,-0.000627,0.008637,0.016225,-0.004182,
21313.832031,-21.936649,-50.507935,-0.000836,-0.000647,-0.005348,0.003561,0.006355,-0.001444,0.017981,0.031548,-0.006841,
21413.974609,-21.936649,-50.507935,-0.001293,-0.000989,-0.008012,0.006760,0.011944,-0.002654,0.027325,0.047775,-0.010344,
21513.468750,-21.936649,-50.507935,-0.001620,-0.001267,-0.010625,0.011001,0.019173,-0.004073,0.037377,0.064121,-0.012908,
21613.734375,-21.936649,-50.507935,-0.002013,-0.001591,-0.013299,0.016249,0.027860,-0.005673,0.047447,0.079289,-0.014967,
21713.224609,-21.936649,-50.507935,-0.002405,-0.001915,-0.015981,0.022604,0.037958,-0.007656,0.058184,0.093747,-0.018212,
21813.171875,-21.936649,-50.507935,-0.002763,-0.002261,-0.018671,0.029935,0.049445,-0.009983,0.068270,0.107827,-0.021585,
21912.839844,-21.936649,-50.507935,-0.003226,-0.002622,-0.021332,0.038483,0.062335,-0.012682,0.079742,0.121879,-0.025190,
22012.832031,-21.936649,-50.507935,-0.003600,-0.002956,-0.023996,0.048295,0.076597,-0.015680,0.091992,0.135706,-0.028378,
22113.097656,-21.936649,-50.507935,-0.004005,-0.003275,-0.026638,0.059157,0.092089,-0.018837,0.103081,0.148517,-0.030506,
22213.031250,-21.936649,-50.507935,-0.004444,-0.003629,-0.029274,0.071250,0.108948,-0.022472,0.114974,0.161895,-0.034407,
22319.220703,-21.936649,-50.507935,-0.004871,-0.004012,-0.031888,0.084610,0.126942,-0.026289,0.127394,0.173928,-0.036914,
22412.753906,-21.936649,-50.507935,-0.005251,-0.004328,-0.034610,0.099383,0.146058,-0.030475,0.140951,0.185413,-0.040213,
22512.796875,-21.936649,-50.507935,-0.005632,-0.004676,-0.037265,0.115498,0.166330,-0.034786,0.154416,0.196956,-0.042141,
22613.212891,-21.936649,-50.507935,-0.006083,-0.004998,-0.039996,0.133051,0.187688,-0.039455,0.168490,0.208039,-0.045172,
22712.890625,-21.936649,-50.507935,-0.006511,-0.005418,-0.042713,0.151984,0.210089,-0.044362,0.182386,0.218681,-0.047774,
22812.751953,-21.936649,-50.507935,-0.006935,-0.005760,-0.045407,0.172314,0.233374,-0.049552,0.196329,0.228130,-0.050524,
22913.019531,-21.936649,-50.507935,-0.007379,-0.006100,-0.048036,0.194135,0.257651,-0.055175,0.210918,0.237888,-0.054329,
23013.011719,-21.936649,-50.507935,-0.007746,-0.006463,-0.050720,0.217525,0.282721,-0.060903,0.226241,0.246434,-0.056294,
23113.210938,-21.936653,-50.507942,-0.008182,-0.006784,-0.053368,0.242393,0.308653,-0.067097,0.241196,0.255025,-0.060060,
23212.835938,-21.936653,-50.507942,-0.008547,-0.007165,-0.056064,0.268882,0.335376,-0.073702,0.256992,0.263160,-0.064055,
23312.783203,-21.936653,-50.507942,-0.008930,-0.007531,-0.058741,0.296995,0.362880,-0.080631,0.273086,0.271080,-0.067543,
23413.384766,-21.936653,-50.507942,-0.009326,-0.007875,-0.061409,0.326816,0.391084,-0.087898,0.289838,0.278386,-0.070961,
23512.759766,-21.936653,-50.507942,-0.009654,-0.008187,-0.064089,0.358255,0.419881,-0.095494,0.306204,0.284775,-0.074294,
23613.167969,-21.936653,-50.507942,-0.010022,-0.008512,-0.066792,0.391508,0.449202,-0.103362,0.323754,0.290397,-0.077219,
23712.771484,-21.936653,-50.507942,-0.010374,-0.008868,-0.069460,0.426562,0.479184,-0.111621,0.341608,0.296678,-0.080796,
23812.863281,-21.936653,-50.507942,-0.010801,-0.009249,-0.072141,0.463403,0.509631,-0.120193,0.359481,0.301877,-0.084079,
23913.007812,-21.936653,-50.507942,-0.011122,-0.009563,-0.074874,0.502031,0.540544,-0.129069,0.377346,0.306713,-0.087198,
24012.673828,-21.936653,-50.507942,-0.011518,-0.009918,-0.077503,0.542492,0.572031,-0.138350,0.395521,0.312149,-0.090940,
24112.923828,-21.936653,-50.507942,-0.011869,-0.010326,-0.080158,0.584839,0.603907,-0.147833,0.414157,0.316557,-0.093536,
24212.783203,-21.936653,-50.507942,-0.012271,-0.010653,-0.082827,0.629044,0.636063,-0.157674,0.432751,0.319892,-0.096788,
24313.007812,-21.936653,-50.507942,-0.012635,-0.011051,-0.085453,0.675212,0.668436,-0.167754,0.452033,0.322449,-0.099463,
24413.019531,-21.936653,-50.507942,-0.013066,-0.011383,-0.088131,0.723313,0.701246,-0.178137,0.471357,0.326216,-0.102369,
24512.914062,-21.936653,-50.507942,-0.013434,-0.011718,-0.090834,0.773443,0.734340,-0.188881,0.491316,0.329368,-0.105749,
24612.679688,-21.936653,-50.507942,-0.013777,-0.012044,-0.093517,0.825536,0.767361,-0.200013,0.511058,0.329925,-0.109469,
24712.707031,-21.936653,-50.507942,-0.014178,-0.012415,-0.096239,0.879759,0.800626,-0.211352,0.531842,0.331747,-0.112079,
24812.482422,-21.936653,-50.507942,-0.014543,-0.012774,-0.098926,0.936034,0.834015,-0.223032,0.552448,0.333176,-0.115230,
24912.419922,-21.936653,-50.507942,-0.014916,-0.013075,-0.101543,0.994502,0.867254,-0.235020,0.573930,0.332651,-0.118326,
25008.964844,-21.936653,-50.507942,-0.015287,-0.013410,-0.104179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
25114.400391,-21.936649,-50.507942,-0.015658,-0.013734,-0.106846,0.003143,-0.000055,-0.000573,0.020955,-0.000367,-0.003823,
25214.244141,-21.936649,-50.507942,-0.015997,-0.014036,-0.109432,0.008699,-0.000174,-0.001424,0.044021,-0.000914,-0.006948,
25313.583984,-21.936649,-50.507942,-0.016359,-0.014355,-0.112082,0.016402,-0.000414,-0.002645,0.066032,-0.001902,-0.010451,
25413.751953,-21.936649,-50.507942,-0.016714,-0.014742,-0.114751,0.026242,-0.000873,-0.004156,0.087611,-0.003697,-0.013556,
25513.824219,-21.936649,-50.507942,-0.017066,-0.015088,-0.117384,0.038440,-0.001604,-0.005944,0.110518,-0.006109,-0.016440,
