mx,my,mz
173.741, 396.529, 15.582
137.597, 415.846, 37.276
127.68, 420.507, 53.8791
114.437, 423.136, 68.8596
92.9259, 423.845, 86.1347
67.3835, 419.808, 108.508
39.4642, 409.394, 130.504
11.1891, 397.466, 150.136
-0.528202, 380.645, 165.29
-33.3723, 355.283, 185.263
-63.837, 330.655, 192.001
-85.1915, 313.45, 195.133
-102.846, 289.435, 200.117
-109.489, 266.214, 206.716
-116.054, 243.539, 211.243
-103.679, 227.391, 224.41
-89.4548, 216.676, 234.522
-58.4041, 196.001, 249.877
-24.2105, 186.55, 261.404
14.3369, 196.642, 263.497
58.555, 215.808, 261.686
98.2833, 232.975, 255.235
251.852, 46.9006, 178.402
236.333, 47.1609, 193.397
223.543, 59.9132, 208.451
206.867, 61.3092, 218.864
191.775, 61.9883, 228.07
188.493, 59.4605, 228.485
184.016, 67.3294, 232.164
181.211, 64.2143, 232.56
183.814, 63.1956, 231.466
189.396, 60.8187, 226.862
194.114, 61.6487, 225.731
202.924, 61.5984, 221.949
227.089, 72.1373, 209.206
249.01, 79.2681, 195.774
261.271, 89.568, 185.625
267.27, 92.6995, 181.551
270.253, 95.2437, 179.337
271.458, 95.416, 180.419
270.666, 94.85, 179.702
270.93, 97.1137, 177.514
276.967, 100.132, 173.137
283.871, 91.5299, 161.969
296.548, 92.8881, 143.218
308.847, 109.602, 127.825
-67.2125, 384.99, -19.2203
-79.2303, 382.117, -8.79079
-80.2867, 387.436, 3.84833
-77.8168, 390.409, 0.0
-60.8187, 388.342, -18.5248
-47.1609, 388.38, -32.4467
-13.9974, 382.305, -57.1213
28.9379, 377.702, -72.2882
46.6327, 381.362, -71.0809
58.2456, 380.273, -71.423
83.871, 377.778, -71.7978
123.041, 380.897, -61.1696
165.478, 380.834, -41.313
190.136, 381.949, -19.4932
196.529, 386.342, -3.58423
199.887, 387.474, 9.13035
204.49, 387.361, 21.4299
210.753, 387.021, 39.6152
213.771, 383.286, 52.5938
210.37, 383.665, 66.3158
205.848, 384.758, 82.3995
197.7, 385.38, 97.037
189.549, 382.532, 115.261
176.53, 380.39, 129.435
168.874, 377.589, 141.407
172.005, 373.892, -44.784
162.988, 376.08, -49.1605
155.945, 378.986, -50.5653
143.633, 380.306, -57.3477
134.074, 378.986, -62.885
122.279, 376.835, -66.1762
111.735, 376.803, -70.3704
100.17, 375.778, -74.4765
89.983, 375.778, -77.1553
83.4937, 373.628, -77.2684
77.0798, 373.477, -78.4758
68.4211, 372.904, -79.7271
51.2792, 372.588, -81.25
35.7895, 372.008, -80.2729
31.3903, 372.722, -80.249
24.7878, 369.591, -80.2113
16.7641, 367.641, -80.4288
5.20656, 366.836, -80.3622
-7.47029, 363.705, -77.3062
-16.5252, 364.309, -75.5706
-26.1598, 364.327, -72.4756
-36.5214, 363.403, -69.3077
-44.2885, 361.481, -66.5887
-54.0653, 360.724, -62.8938
33.5408, 319.902, -114.959
87.0024, 308.546, -121.939
